hardware,agent_count,state_width,action_count,mode,threads,repetitions,median_wall_ms,mean_wall_ms,std_wall_ms,p10_wall_ms,p90_wall_ms,median_ns_per_agent_step,correctness_valid,cv
NVIDIA GeForce GTX 1660 Ti,262144,32,8,eager-host-visible,,10,134.507539,134.7174059,0.5619421305024745,134.427269,135.04221379999998,8.017274081707,True,0.004171265967811176
NVIDIA GeForce GTX 1660 Ti,262144,32,8,eager-resident,,10,118.9858665,121.02407550000001,4.43934523878703,118.8484129,128.2482941,7.092110306024551,True,0.03668150506786585
NVIDIA GeForce GTX 1660 Ti,262144,32,8,graph-resident,,10,118.7637955,118.804844,0.09260968340657719,118.7238535,118.93412380000001,7.078873842954636,True,0.000779511005515711
NVIDIA GeForce GTX 1660 Ti,1048576,8,1,cpu,1.0,10,2962.6108545,2959.4236422000004,26.427670075065375,2932.0596448,2986.8842455,44.146341897547245,True,0.008930005727540704
NVIDIA GeForce GTX 1660 Ti,1048576,8,1,cpu,8.0,10,1284.18926,1292.238862,112.47579401889041,1175.0683794000001,1453.2358034000001,19.13591116666794,True,0.08703947646707627
NVIDIA GeForce GTX 1660 Ti,1048576,8,1,eager-host-visible,,10,277.7354485,277.9858954,1.3600343383361377,276.4891201,279.8211352,4.138580687344074,True,0.004892458073742031
NVIDIA GeForce GTX 1660 Ti,1048576,8,1,eager-resident,,10,232.165725,232.1651816,0.06020082932652095,232.1151183,232.2436659,3.4595388919115067,True,0.0002593017131666265
NVIDIA GeForce GTX 1660 Ti,1048576,8,1,graph-resident,,10,229.1193515,229.1287832,0.0696184391998493,229.0668741,229.2179657,3.414144389331341,True,0.0003038397805267501
NVIDIA GeForce GTX 1660 Ti,1048576,8,8,cpu,1.0,10,3773.5584765,3762.5274758,29.16155082167768,3735.0977603,3786.8986648,56.23040313273668,True,0.007750521692995015
NVIDIA GeForce GTX 1660 Ti,1048576,8,8,cpu,8.0,10,1662.76985,2173.9179732000002,1034.2942539767914,1308.9780258,3906.4826239999998,24.77720156311989,True,0.47577427792931565
NVIDIA GeForce GTX 1660 Ti,1048576,8,8,eager-host-visible,,10,275.0151125,277.82863069999996,8.039257238494502,274.3991369,280.5755327,4.0980445221066475,True,0.028936028724754835
NVIDIA GeForce GTX 1660 Ti,1048576,8,8,eager-resident,,10,229.457433,229.45240819999998,0.07387203881758866,229.3748746,229.5235025,3.4191821962594986,True,0.00032194928524436673
NVIDIA GeForce GTX 1660 Ti,1048576,8,8,graph-resident,,10,229.1699365,229.17112459999998,0.06842423041291358,229.0949514,229.21715799999998,3.4148981645703316,True,0.00029857265190953985
NVIDIA GeForce GTX 1660 Ti,1048576,32,1,cpu,1.0,10,7618.2542965,7643.1752429,78.64924035608315,7580.6444157000005,7758.9878511,113.52083528786898,True,0.01029012653205133
NVIDIA GeForce GTX 1660 Ti,1048576,32,1,cpu,8.0,10,3571.793322,3603.0602946,180.76967519347582,3409.9233541,3816.6758218,53.223868042230606,True,0.05017114908246194
NVIDIA GeForce GTX 1660 Ti,1048576,32,1,eager-host-visible,,10,521.4379705,521.986818,1.0234257160627136,520.9892598,523.1568335,7.770031251013279,True,0.0019606351746275586
NVIDIA GeForce GTX 1660 Ti,1048576,32,1,eager-resident,,10,473.832112,474.8078464,3.0707642893875455,473.7797265,474.9441503,7.060648679733276,True,0.006467383200741363
NVIDIA GeForce GTX 1660 Ti,1048576,32,1,graph-resident,,10,473.6106415,473.612759,0.03201821149146104,473.5777594,473.6470097,7.057348512113094,True,6.760419959771617e-05
NVIDIA GeForce GTX 1660 Ti,1048576,32,8,cpu,1.0,10,8433.594007,8436.6031442,107.20135726875336,8375.304614800001,8508.7469397,125.67034374177456,False,0.012706696692548848
NVIDIA GeForce GTX 1660 Ti,1048576,32,8,cpu,8.0,10,3649.470168,3643.4168624,96.26632738058693,3496.5125547000002,3744.0336638,54.38134324550629,False,0.026421990954165524
NVIDIA GeForce GTX 1660 Ti,1048576,32,8,eager-host-visible,,10,522.1238925,523.0188892,1.856431484769851,521.55916,525.3918595,7.780252285301685,False,0.0035494539931615362
NVIDIA GeForce GTX 1660 Ti,1048576,32,8,eager-resident,,10,473.9387585,475.30368150000004,4.180512746714496,473.89304599999997,475.65883740000004,7.062237836420536,False,0.008795456272337953
NVIDIA GeForce GTX 1660 Ti,1048576,32,8,graph-resident,,10,473.76556300000004,473.8110589,0.18988998659601153,473.70016780000003,473.8641512,7.059657022356987,False,0.0004007715375763078
NVIDIA L4,256,8,1,cpu,1.0,7,4.21478,4.181866714285714,0.07298513818514524,4.087309,4.2424698,257.249755859375,True,0.0174527652772433
NVIDIA L4,256,8,1,cpu,8.0,7,6.034072,6.285401285714285,0.6495110761397672,5.8687176,6.9074212,368.29052734375,True,0.10333645325335111
NVIDIA L4,256,8,1,eager-host-visible,,7,13.68717,13.663906285714287,0.12079286207072776,13.5178502,13.7818988,835.3985595703125,True,0.008840287656028319
NVIDIA L4,256,8,1,eager-resident,,7,10.997509,10.966307142857143,0.10360345452803604,10.8581422,11.057979399999999,671.2346801757812,True,0.009447433231479178
NVIDIA L4,256,8,1,graph-resident,,7,0.989049,0.9895568571428571,0.006038851171886145,0.9843111999999999,0.9955598,60.36676025390625,True,0.0061025813002014775
